id,median_house_value
19109,200628.279802069
17007,301496.654721077
1229,78886.3250960408
18154,261856.873626566
20519,79813.3621981579
4499,109562.235641292
16552,200411.008173155
5303,370186.754608325
7573,160552.598562912
6412,263174.708972741
19301,176666.989619474
15919,281353.546326378
6707,219200.446875631
20304,282601.807441376
11611,317777.340701496
5518,383726.799189239
8917,209853.706732136
14706,310709.215271848
9153,253006.328394196
8434,263358.891468496
6202,179271.519782774
16377,83934.3083552608
33,159410.393274716
15016,262598.663510824
18575,177105.601551177
2224,216547.314439165
2278,184551.471344967
10158,279908.312409646
13523,241051.701170162
6865,222345.105956465
4779,181101.869497213
2326,91928.6183026263
4132,163083.520479921
2800,-23875.4944087127
5841,237697.365421058
6755,227535.131720624
4352,231895.178814408
2687,87789.3962552634
9725,250679.673639349
2232,146745.999992792
14030,207620.824006915
16859,234242.151208766
8994,296013.652246044
11828,118447.96524407
4289,151467.200932378
14228,204351.854108165
4473,160907.510814806
1539,335282.956541963
3717,188256.483626849
2900,95189.1728338691
15175,295279.623609703
9139,260639.169746652
14829,157021.817532199
20335,266863.48836569
8295,283169.054686905
11560,214616.14442288
16310,153485.205391084
549,249385.173740135
3789,173562.563997964
8230,204438.546990987
9068,189998.363667231
16345,201058.128233874
11143,183253.628745109
6792,185654.032794165
16538,129167.689530768
18540,224199.806410631
7741,197682.547848377
15497,275360.832238973
19339,200602.605199113
3341,166147.049035862
4655,202812.260840407
13465,104680.374955202
19936,105110.860287865
11052,199738.588615873
17268,311617.284052075
10920,118965.828660132
145,222438.586375162
20583,184251.229639207
8353,285211.820731213
5873,254303.414493594
6851,213274.953405983
12535,85463.4618542885
2544,148300.737158922
3229,105537.718889706
18798,71269.1767014289
16979,288575.349307612
4895,144105.373237104
9714,250597.759318169
10796,257652.159270501
206,150056.282320548
19641,140695.414888895
11931,196551.692632265
8902,296235.029989887
13723,66275.515135654
19989,130710.182851309
13652,200991.587574098
2503,51388.1550544082
8681,218588.614955492
13057,95590.0591011034
7352,107930.448108093
4457,143847.053638475
6558,411801.624536963
5469,245998.331963359
12894,112712.574806654
759,250496.023314638
15820,188053.133628273
12217,189663.871237413
10399,264179.572159008
1518,253713.766782317
1163,56676.7447088425
6126,158822.178204774
20521,116375.058979638
1898,7393.5525034917
1118,63787.4025306827
10128,320625.168901588
8360,260215.313393439
10043,82187.1371113695
18350,73319.7910820953
2903,103030.912637371
19184,199317.694052587
13578,120895.56776686
6234,171743.058962473
10266,245757.776528275
6517,72168.9954791782
7548,218760.920450474
13161,223329.01369248
10332,294828.553374564
16681,286869.414126234
2245,158271.351251665
4946,157020.958609833
6051,112359.692165992
10592,277667.614711866
1911,45755.2279907466
785,273398.36488227
11027,279952.237486462
16043,230144.14037409
9082,27330.4473328105
11313,227318.298816784
6191,187717.390208831
18878,181703.698153216
18127,301372.128126226
7422,172773.207654986
11904,159478.123286445
11624,206132.050118873
3407,189174.925052757
5823,331313.323249669
17327,274698.266250798
1954,77112.6329784229
4027,285437.07053526
19387,135051.652039785
7756,213224.010205374
14747,198983.011248526
12804,218677.915420284
2868,126408.803248455
9443,78102.8213724105
9899,129103.382407138
3882,261642.186602875
16401,249806.882905573
146,299066.004851629
19221,168314.212853631
16871,292389.882924113
11907,184436.728893385
20209,351669.542337585
16999,352820.580253942
4971,127460.583986379
3347,-36551.1817943952
3422,121766.384230845
18326,502556.329076853
16222,191116.07193144
546,319775.270818362
13026,112100.881612407
13010,132624.035641392
2997,171136.901966554
15123,237971.575298012
12614,191694.7672019
18055,395777.579104592
6038,113184.308870443
12968,105248.722909383
4448,162445.294810115
18771,46673.6357321433
11783,13486.0474950515
5452,306598.183794899
1741,157391.417309598
4949,134014.945587864
14434,199211.409192004
18062,491478.915574581
15858,269495.230133292
13591,81103.6808239588
17758,261230.563533044
3157,87015.5258045832
11128,142524.974224482
10350,334816.627738065
2394,101441.251871099
16007,362112.190114423
15914,229212.711822199
16081,292518.713070219
13339,188722.830778811
85,143854.913188931
7562,138944.441505676
17080,272509.449564491
6379,339999.507954418
17446,269868.469869078
12018,148642.600423908
17502,196061.588475942
8046,247121.264480396
11681,219998.554173427
13959,201345.523923874
4370,244016.062476242
2198,54947.9392781291
726,200752.819301547
11838,75958.2439766191
7358,75939.623172555
13589,104491.531269384
8833,291245.587997896
10486,291405.294024505
2205,204293.686181858
10045,87700.8823744956
16668,239927.362936223
20582,151582.467776575
13267,153378.432081337
10025,39059.5924207151
18691,267333.526220754
5535,328111.1570315
4438,146157.542258935
7001,187469.075459333
12584,63446.9753598878
9215,76692.4103647113
17272,295316.646707661
7641,261931.742438393
13594,85695.3609599113
19589,171022.388196178
10890,276204.414346059
6142,134591.179107964
15284,249871.855863583
18290,312199.280091491
19063,216060.559492024
4207,187103.790817993
19178,196972.174886514
3517,273639.611435931
1558,342126.908927291
8547,185236.090994131
19235,314559.44159844
5265,505444.519186581
8772,246972.848079777
16421,184554.734505189
1273,211200.260421354
16036,272424.61179276
1202,62087.7883127093
9584,102544.933730835
566,238765.777027426
18993,206562.490695043
3645,151418.786944236
13767,134266.276418115
8038,267585.897043185
2627,167145.38166502
15114,199967.836517624
13807,81329.7596300707
12780,84832.7050576667
3194,124309.55219251
6883,129263.511179124
14197,182178.020396816
18544,235045.092432051
7166,92950.2146991363
7389,152780.350800405
11574,195672.124522842
9272,298248.519065618
10408,232522.737896121
5695,250261.472612842
10017,93267.3570480547
10915,110767.40677383
11940,172727.819528467
216,182604.615272885
11012,329231.919494979
7842,160198.000851409
9147,278608.422023196
10793,388037.686876973
9661,-29268.8287370749
10869,260359.834746749
20285,207786.553185031
7383,120109.422182534
19701,118785.604623424
2728,27145.9954172869
5765,157352.850659695
2073,35844.1134921217
15713,277838.198676182
17077,145298.948306936
8857,309199.928569328
7772,202796.993798354
17098,301881.599718871
10500,169657.584431221
12855,78331.7394303984
17491,219844.218240599
18279,430934.230200147
13774,256623.0046796
7075,223373.769283202
7690,249766.056970988
5366,370615.203199105
18072,437904.539065152
1480,145388.241301096
2414,133223.415964901
14027,216044.205010863
17967,315866.207026526
20473,248181.881463374
3216,111006.016018108
3559,287818.253741139
4021,264508.449549051
11192,259190.193954229
16187,85917.8490757953
9600,142904.54146888
58,128695.739426429
9007,347985.211444539
15549,127444.606324359
9116,248509.588160894
7057,203398.078907531
5572,247393.640893491
16812,218539.095198951
3544,308525.240122149
15475,204947.506135627
10406,446436.036448679
12601,114468.932664571
347,163323.856357048
7419,194969.740138931
4502,118747.094071929
12713,103472.641024429
17866,373826.776315314
11810,11198.6584376967
391,210918.988237262
12134,127476.515047405
5862,309310.233423519
15691,338322.681009489
1596,331019.360002208
11950,180154.240749656
11151,249199.438993213
8884,406115.353954142
18463,244060.399719717
12169,83587.1716915632
1702,224754.792853475
14414,272304.601480091
3550,304179.782691906
17316,240885.217791461
276,353732.178578825
826,226709.935368588
17861,279004.95703681
16272,91763.6504579008
20128,257461.693121865
11820,152698.149455521
6204,187055.773009456
17003,325180.463797632
15499,335749.511878107
18458,294122.524426194
15163,208942.542062965
7190,184950.925919646
14358,374295.755781071
1259,181229.192504103
11774,100968.952886262
4661,195535.755094139
1204,68146.6986133737
15913,266484.835924789
1434,242466.712106048
