id,median_house_value
19109,1193645.72
17007,2299306.92
1229,390440.92
18154,4257025.8
20519,573377.17
4499,6112821.2
16552,7197706.23
5303,8372526.98
7573,9162314.49
6412,10265634.81
19301,11170836.18
15919,12278359.4
6707,13220718.85
20304,14279602.47
11611,15316593.29
5518,16386425.47
8917,17210253.03
14706,18306381.49
9153,19253758.4
8434,20263788.52
6202,21180287.1
16377,2281696.25
33,23167473.61
15016,24255317.17
18575,25171883.51
2224,26220726.27
2278,27188620.26
10158,28275479.6
13523,29239208.84
6865,30223080.38
4779,31182067.68
2326,3295980.88
4132,33166693.36
2800,34,-19102.5879128106
5841,35239297.64
6755,36227425.43
4352,37234927.97
2687,3890030.22
9725,39253656.47
2232,40154357.55
14030,41212957.26
16859,42229136.84
8994,43293342.08
11828,44115073.05
4289,45153540.86
14228,46202388.15
4473,47164480.75
1539,48342263.74
3717,49192681.53
2900,5099233.45
15175,51294349.21
9139,52261424.85
14829,53154059.84
20335,54259517.42
8295,55285575.89
11560,56212498.67
16310,57149330.98
549,58255824.44
3789,59175601.31
8230,60206987.29
9068,61190171.76
16345,62198241.63
11143,63181636.07
6792,64186082.35
16538,65125661.47
18540,66220475.93
7741,67197549.13
15497,68271384.73
19339,69195879.05
3341,70172871.76
4655,71205033.64
13465,72101971.29
19936,7399665.24
11052,74195796.18
17268,75308269.04
10920,76118118.53
145,77230020.39
20583,78178205.03
8353,79281826.71
5873,80255340.37
6851,81212594.54
12535,8281411.22
2544,83151645.08
3229,84109021.92
18798,8570389.19
16979,86284885.38
4895,87146739.21
9714,88249798.94
10796,89255690.62
206,90158279.25
19641,91134406.46
11931,92194317.41
8902,93294572.92
13723,9462332.66
19989,95123596.62
13652,96204230.76
2503,9756996.18
8681,98218231.4
13057,9992927.17
7352,100109887.02
4457,101147032.31
6558,102412656.12
5469,103247378.89
12894,104109319.99
759,105259668.29
15820,106184121.1
12217,107188273.46
10399,108263877.22
1518,109258628.66
1163,11060870.99
6126,111159165.16
20521,112107391.77
1898,11311828.92
1118,11468440
10128,115318188.28
8360,116258480.36
10043,11779965.63
18350,11881458.85
2903,119106347.09
19184,120194853.99
13578,121116214.28
6234,122172216.54
10266,123245039.98
6517,12478238.9
7548,125,NA
13161,126220272.48
10332,127292827.06
16681,128283207.2
2245,129163414
4946,130161609.58
6051,131116554.34
10592,132277060.57
1911,13360847.78
785,134280717.36
11027,135277568.86
16043,136226598.46
9082,13735568.29
11313,138225439.17
6191,139186990.07
18878,140175651.78
18127,141297198.01
7422,142174653.43
11904,143159159.82
11624,144205967.41
3407,145193351.13
5823,146333282.1
17327,147273644.87
1954,14877968.69
4027,149291391.92
19387,150128236.73
7756,151213991.06
14747,152197128.56
12804,153216012.98
2868,154130112.76
9443,15582234.29
9899,156131135.2
3882,157265354.93
16401,158246456.94
146,159305573.23
19221,160162192.35
16871,161289038.13
11907,162179324.15
20209,163343562.74
16999,164350555.77
4971,165129657.53
3347,166,-34315.9683059063
3422,167125367.94
18326,168501245.21
16222,169186819.66
546,170324487.19
13026,171111428.96
13010,172130450.52
2997,173175531.27
15123,174232963.38
12614,175186989.78
18055,176393094.65
6038,177113212.12
12968,178101829.5
4448,179,NA
18771,18039034.17
11783,18111617.07
5452,182309396.97
1741,183164699.11
4949,184135478.74
14434,185196367.72
18062,186489270.34
15858,187267257.84
13591,18875454.42
17758,189258078.37
3157,19091752.79
11128,191143018.6
10350,192334500.81
2394,193109789.04
16007,194359171.56
15914,195228502.02
16081,196288975.14
13339,197187261.2
85,198151346.69
7562,199139255.58
17080,200268773.38
6379,201342002.29
17446,202268142.97
12018,203148108.74
17502,204192481.23
8046,205246094.87
11681,206218804.74
13959,207253154.56
4370,208245712.36
2198,20959445.7
726,210208332.42
11838,21174495.59
7358,21279658.97
13589,213101841.66
8833,214289807.01
10486,215290539.94
2205,216211694.79
10045,21786838.36
16668,218237362.1
20582,219145338.91
13267,220150616.35
10025,22138488.36
18691,222262685.4
5535,223332799.41
4438,224150303.78
7001,225188600.51
12584,22661094.57
9215,22776794.79
17272,228290881.03
7641,229263255.97
13594,23082561.66
19589,231164215.39
10890,232276356.77
6142,233137581.69
15284,234246043.52
18290,235309256.77
19063,236210111.98
4207,237189647.91
19178,238190992.6
3517,239277610.08
1558,240350042.32
8547,241186500.85
19235,242308987.47
5265,243508016.28
8772,244247833.68
16421,245184034.85
1273,246218655.73
16036,247270711.57
1202,24866392.54
9584,249103158.18
566,250245362.87
18993,251201410.19
3645,252156034.37
13767,253130444.47
8038,254267199.38
2627,255174765.63
15114,256193157.03
13807,25777333.33
12780,25883150.32
3194,259125812.44
6883,260132100.17
14197,261178871.51
18544,262231654.13
7166,26396125.01
7389,264152161.95
11574,265193962.56
9272,266300614.36
10408,267233400.76
5695,268252143.79
10017,26993079.61
10915,270111044.31
11940,271168792.08
216,272190635.78
11012,273327351.52
7842,274161480.76
9147,275278811.83
10793,276387639.87
9661,277,-28365.2872470688
10869,278260908.8
20285,279202833.59
7383,280121727.37
19701,281112675.04
2728,28230176.75
5765,283162310.2
2073,28442656.76
15713,285274459.59
17077,286142759.84
8857,287309431.08
7772,288202724.88
17098,289300249.5
10500,290169090.93
12855,29174713.96
17491,292216706.75
18279,293427979.93
13774,294256035.96
7075,295224763.52
7690,296249017.76
5366,297373087.84
18072,298434577.27
1480,299153616.91
2414,300139055.04
14027,301212450.94
17967,302312498.03
20473,303241343.92
3216,304113351.47
3559,305288879.29
4021,306268659.96
11192,307258982.42
16187,30880736.65
9600,309140358.49
58,310136865.16
9007,311348388.83
15549,312124619.69
9116,313249129.13
7057,314203965.9
5572,315250189.53
16812,316217309.08
3544,317311627.26
15475,318197058.88
10406,319452324.47
12601,320111545.55
347,321171416.99
7419,322196465.75
4502,323120600.1
12713,32499981.24
17866,325372016.29
11810,3268447.36
391,327217874.19
12134,328123906.99
5862,329310925.02
15691,330334140.9
1596,331339367.49
11950,332178133.58
11151,333248157.41
8884,334407174.5
18463,335236498.04
12169,33681391.06
1702,337230956.05
14414,338268476.15
3550,339310429.05
17316,340237719.94
276,341362863.44
826,342234718.73
17861,343275847.26
16272,34487564.99
20128,345251111.88
11820,346152263.45
6204,347190091.41
17003,348320320.26
15499,349336527.01
18458,350290016.17
15163,351205688.74
7190,352186249.22
14358,353371129.67
1259,354189844.64
11774,35597299.97
4661,356196706.09
1204,35772477.13
15913,358263184.47
1434,359247995.52
1937,360182585.4
20215,361255724.86
2526,362102120.42
9104,363153431.34
13325,364124877.15
383,365262105.94
19035,366138627.89
9371,367651818.46
2152,368102426.94
20585,369135851.11
5981,370131067.85
9435,37167828.62
20143,372182015.27
16750,373231636.73
4051,374450324.16
11283,375230608.42
10426,376326312.72
4811,377158251.45
12901,378109723.34
16449,379116012.57
4704,380365752.93
8131,381178223.94
6955,382224870.25
19947,38375635.17
12846,384162960.38
6962,385215332.41
19078,386232419.83
10367,387304784.92
4096,388302399.49
8383,389178903.96
13252,390155781.26
12927,391157314.54
7885,392198295.36
18241,393213983.52
1580,394338041.84
17764,395218401.73
17987,396277599.5
14086,397271063.49
1403,398261209.71
1285,399142932.86
419,400332186.37
3603,401260878.76
10728,402508708.01
4114,403285424.33
7902,404250337.04
5449,405235661.16
12522,406123782.26
10404,407287414.79
575,408304713.52
14911,409188146.73
6869,410137149.87
16219,411180890.58
17232,412239601.73
15638,413271880.62
10309,414336750.08
4123,415163166.49
113,416283730.15
14682,417228702.68
1862,418101249.43
10605,419314588.31
732,420253877.31
11405,421258412.06
7353,422163705.58
3439,423177952.99
7722,424262628.73
18331,425451440.09
13402,426122528.59
14971,427,NA
13346,42891400.06
3261,429132482.26
1156,43082632.5
10073,431,-67344.8536962075
13685,432189992.59
12466,433181766.12
15665,434302468.52
11298,435236707.49
7318,436130587.16
9005,437406904.52
7312,438102358.09
11361,439145591.01
15958,440252763.94
7308,441146384.96
15641,442336872.51
9744,443255709.7
12349,444130421.08
6496,445170428.35
3136,446135981.86
7551,447189780.83
1573,448249690.15
18582,449209019.56
8862,450340291.7
708,451261449.29
2023,45278419.75
12829,453143123.26
9943,454,NA
14261,45598992.83
12566,456137056.37
1415,457297912
12726,458136661.94
3572,459403419.74
17352,460260015.41
14736,461242920.5
7307,462166055.96
5806,463159048.04
7625,464243297.61
17694,465259364.4
10371,466249264.32
3593,467149868.96
8279,468147276.9
356,469271886.34
19192,470244202.32
10858,471128046.78
12464,472171448.26
13910,47392516.92
16830,474321889.8
6814,475175505.15
680,476251234.15
11250,477193481.53
5844,478196826.32
2608,479140032.06
15515,480191702.46
11280,481269428.58
10049,48288248.24
3879,483294829.41
14502,484210600.35
2636,485149982.36
13653,486121511.1
19482,487118640.65
