"","predict.object...model1..newdata...data.frame.datatest.."
"1",193645.723554203
"2",299306.92302434
"3",90440.9194333017
"4",257025.80211313
"5",73377.1692242889
"6",112821.202245872
"7",197706.226827776
"8",372526.975937787
"9",162314.488643735
"10",265634.809790961
"11",170836.181358874
"12",278359.404032103
"13",220718.848493798
"14",279602.46622765
"15",316593.291649247
"16",386425.467434955
"17",210253.034632546
"18",306381.493622505
"19",253758.395904434
"20",263788.519574055
"21",180287.099805456
"22",81696.2545461564
"23",167473.61103818
"24",255317.165273118
"25",171883.507266866
"26",220726.26836
"27",188620.258107644
"28",275479.604474449
"29",239208.839440514
"30",223080.380654906
"31",182067.679098489
"32",95980.8808254037
"33",166693.362937491
"34",-19102.5879128106
"35",239297.636150797
"36",227425.429984911
"37",234927.97030741
"38",90030.2245482078
"39",253656.465454714
"40",154357.552281214
"41",212957.263953036
"42",229136.837787734
"43",293342.076713871
"44",115073.050817184
"45",153540.859693732
"46",202388.148189674
"47",164480.750758456
"48",342263.743255426
"49",192681.53117563
"50",99233.4473095153
"51",294349.214999159
"52",261424.853103488
"53",154059.840534288
"54",259517.422937642
"55",285575.887643744
"56",212498.667269869
"57",149330.980207686
"58",255824.443704946
"59",175601.312981823
"60",206987.293133085
"61",190171.763835415
"62",198241.628209734
"63",181636.067150646
"64",186082.348509785
"65",125661.466378484
"66",220475.9331892
"67",197549.126550996
"68",271384.734466862
"69",195879.052497925
"70",172871.762231614
"71",205033.636313987
"72",101971.28715081
"73",99665.2369353929
"74",195796.178868808
"75",308269.036327781
"76",118118.534317454
"77",230020.389564241
"78",178205.025845433
"79",281826.706683487
"80",255340.368877468
"81",212594.540872196
"82",81411.2230066209
"83",151645.075523442
"84",109021.923663132
"85",70389.1893870092
"86",284885.375920476
"87",146739.206857083
"88",249798.941199721
"89",255690.621172202
"90",158279.250379345
"91",134406.464905248
"92",194317.414757033
"93",294572.917081853
"94",62332.6648253854
"95",123596.621988643
"96",204230.761688578
"97",56996.1753292394
"98",218231.39772801
"99",92927.1738545811
"100",109887.023680876
"101",147032.305390342
"102",412656.118880641
"103",247378.886287813
"104",109319.985328936
"105",259668.288144117
"106",184121.101854279
"107",188273.464000364
"108",263877.22392415
"109",258628.664319655
"110",60870.9872698684
"111",159165.161846053
"112",107391.774063129
"113",11828.9203968129
"114",68439.9961684129
"115",318188.278456602
"116",258480.360798335
"117",79965.6299012521
"118",81458.8473862725
"119",106347.087997348
"120",194853.989118915
"121",116214.283319792
"122",172216.543182682
"123",245039.984862059
"124",78238.9015783536
"125",NA
"126",220272.483281194
"127",292827.056151039
"128",283207.197790983
"129",163413.997852626
"130",161609.583473226
"131",116554.336295495
"132",277060.571181512
"133",60847.7790102019
"134",280717.355132785
"135",277568.863765769
"136",226598.460493666
"137",35568.2898443052
"138",225439.167472097
"139",186990.071416094
"140",175651.780036793
"141",297198.008009544
"142",174653.433327679
"143",159159.822035817
"144",205967.413708591
"145",193351.128561458
"146",333282.104633649
"147",273644.868387037
"148",77968.6859041933
"149",291391.921370679
"150",128236.733544233
"151",213991.061512761
"152",197128.560468419
"153",216012.983333262
"154",130112.760605851
"155",82234.2915267741
"156",131135.198037273
"157",265354.925509601
"158",246456.93732425
"159",305573.229561664
"160",162192.353660835
"161",289038.130310291
"162",179324.145438743
"163",343562.737252848
"164",350555.767889172
"165",129657.525235799
"166",-34315.9683059063
"167",125367.93880298
"168",501245.213305814
